name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
Phoenix Capital Management,www.phxcapital.com,"Phoenix Capital Management was founded in 2000 to invest in or acquire companies where our financial and strategic resources can create significant value for our investment. We do not focus on any particular industry although we have significant experience in health care, retailing, financial services and natural resources. We seek to actively manage companies and to work with existing management teams to create long term strategic value. We do not shy away from turnaround situations where we can mitigate risk and see a clear path to the creation of value. We seek extraordinary rates of returns in everything we do.Occasionally we will serve as investment banking advisors in situations where we can effectively use our vast contacts in the financial markets. We have significant experience in raising private and public capital through institutional investors. Members of our firm have been involved in over $10 Billion of capital financings over the past 20 years.",,false,,,"undergrad-edu: 
last-name: Ax
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Managing Partner
first-name: Peter
email: 

undergrad-edu: 
last-name: Ax
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Managing Partner
first-name: Peter
email: 

undergrad-edu: 
last-name: Ax
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Managing Partner
first-name: Peter
email: 

undergrad-edu: 
last-name: Ax
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Managing Partner
first-name: Peter
email: 

undergrad-edu: 
last-name: Ax
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Managing Partner
first-name: Peter
email: 

undergrad-edu: 
last-name: Ax
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Managing Partner
first-name: Peter
email: 

undergrad-edu: 
last-name: Ax
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Managing Partner
first-name: Peter
email: 
",,"Investor/Banker, "
Cronus Partners,http:www.cronuspartners.com,"My service is health2.0 investment banking.  I'd like to be a commentator on valuation, viability, and economic reality.",,false,,,"undergrad-edu: 
last-name: Schmidt
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director
first-name: Peter
email: 
",,"Investor/Banker, "
Blank Rome,www.blankrome.com,Law firm,,false,,,"undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 
",,"Investor/Banker, Other, "
Commercenet,www.commerce.net/,"CommerceNet is an entrepreneurial research institute that invests in exceptional people with bold ideas, freeing them to go beyond the domain of traditional research labs and venture funds. ",,false,,,"undergrad-edu: 
last-name: Tenenbaum
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Marty
email: 
",,"Investor/Banker, "
EDVenture,www.edventure.com,,,false,,,"undergrad-edu: 
last-name: Dyson
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Esther
email: 
",,"Investor/Banker, Consultant/Tech Services, "
Ignition Partners,www.ignitionpartners.com,venture capital firm focused on Business ITCommunicationsConsumerInfrastructure,,false,,,"undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 
",,"Investor/Banker, "
Minerva Advisory Group,www.minervaadvisors.com,investment banking,,false,,,"undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 
",,"Investor/Banker, "
Mohr Davidow Ventures,,,,false,,,,,"Investor/Banker, "
Physic Ventures,www.physicventures.com,Venture capital fund with Unilever and Pepsico as limited partners. Specializes in lifestyle and health.,,false,,,"undergrad-edu: 
last-name: Donner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director
first-name: Andy
email: 
",,"Investor/Banker, "
Psilos,,venture capital,,false,,,"undergrad-edu: 
last-name: Waxman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Al
email: 
",,"Investor/Banker, "
